name,year,nationality,time-in-space,record,birth,hobbies,biography-src-1,biography-src-2,image-url,attribution,atlink,license,cclink
Valentina Tereshkova,1963,Soviet / Russian,"2 days, 22 hours, and 50 minutes",First woman in space,6.03.1937,parachuting,https://www.space.com/21571-valentina-tereshkova.html,,https://commons.wikimedia.org/wiki/File:RIAN_archive_612748_Valentina_Tereshkova.jpg,"RIA Novosti archive, image #612748 / Alexander Mokletsov",https://commons.wikimedia.org/wiki/File:RIAN_archive_612748_Valentina_Tereshkova.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en
Svetlana Savitskaya,1982,Soviet / Russian,"19 days, 17 hours, and 06 minutes",First woman to spacewalk,08.08.1948,"needlework, cooking, movies",https://www.space.com/svetlana-savitskaya-biography,,"https://commons.wikimedia.org/wiki/File:Svetlana_Savitskaya,_7_December_2018.jpg",Kremlin.ru,http://www.kremlin.ru/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.en
Sally Ride,1983,the United States of America,"14 days, 7 hours, and 46 minutes",First American woman in space,26.05.1951,"running, playing tennis, volleyball, and softball","https://www.nytimes.com/2012/07/24/science/space/sally-ride-trailblazing-astronaut-dies-at-61.html
https://www.space.com/16756-sally-ride-biography.html",,https://en.wikipedia.org/wiki/Sally_Ride,,,,
Anna Lee Fisher,1984,the United States of America,"7 days, 23 hours, and 44 minutes",First mother in space,24.08.1949,"skiing, waterskiing, jogging, flying, scuba diving,
reading, photography","https://www.washingtonpost.com/history/2019/05/
11/she-was-pregnant-when-nasa-offered-send-her-space-anna-fisher-didnt-hesitate/",,https://images.nasa.gov/details-S85-34358,,,,
Helen Sharman,1991,the United Kingdom,"7 days, 21 hours, and 13 minutes",First British astronaut,30.05.1963,"running, yoga, piano and saxophone","https://www.heritagefund.org.uk/stories/astronaut-wanted-story-helen-sharmans-unique-spacesuit
https://www.helensharman.uk/about-helen/",,https://commons.wikimedia.org/wiki/File:Dr._Helen_Sharman_(cropped).jpg,Anne-Katrin Purkiss,https://commons.wikimedia.org/wiki/File:Dr._Helen_Sharman_(cropped).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
Roberta Bondar,1992,Canada,"8 days, 1 hour, and 14 minutes",First Canadian woman in space,11.04.1945,"hot air ballooning, canoeing, biking, target shooting (rifle, handgun), fishing, cross-country skiing and hiking",https://www.robertabondar.com/astronaut.html,https://www.therobertabondarfoundation.org/about-roberta/,https://www.britannica.com/biography/Roberta-Bondar,,,,
Mae Carol Jemison,1992,the United States of America,"7 days, 22 hours, and 30 minutes","First African-American
 woman in space",17.10.1956,jazz dancing,https://www.newscientist.com/people/mae-jemison/,,https://images.nasa.gov/details-S92-40463.html,,,,
Ellen Ochoa,1993,the United States of America,"41 days, 19 hours, and 35 minutes",First Hispanic woman in space,10.05.1958,"volleyball, cycling",https://en.wikipedia.org/wiki/Ellen_Ochoa,,https://en.wikipedia.org/wiki/Ellen_Ochoa,,,,
Chiaki Mukai,1994,Japan,"23 days, 15 hours, and 39 minutes",First Japanese woman in space,6.05.1952,"snow skiing, Alpine competitive skiing, bass fishing, scuba diving, tennis, golf",https://www.britannica.com/biography/Mukai-Chiaki,https://quotepark.com/authors/chiaki-mukai/,https://en.wikipedia.org/wiki/Chiaki_Mukai,,,,
Eileen Marie Collins,1995,the United States of America,"38 days, 8 hours, and 20 minutes",First woman to fly the space shuttle,19.11.1956," golf, hiking, camping, photography",https://www.cnyhistory.org/2015/03/eileen-collins/,,https://images.nasa.gov/details-S99-00858,,,,
Susan Jane Helms,2001,the United States of America,"210 days, 23 hours, and 6 minutes",Longest female spacewalk,26.02.1958,"piano, jogging, traveling, reading, computers, and cooking",https://www.nasa.gov/sites/default/files/atoms/files/helms_susan.pdf,,https://www.wikidata.org/wiki/Q41575,,,,
Claudie Haignere,2001,France," 25 days, 14 hours, and 22  minutes",First French woman in space,13.05.1957,"painting, sculpture, reading, golf, and gymnastics",https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Astronauts/Claudie_Haignere,https://www.encyclopedia.com/science/encyclopedias-almanacs-transcripts-and-maps/haignere-claudie,https://commons.wikimedia.org/wiki/File:20140927_Femmes_de_science_-_Claudie_Haigner%C3%A9_02.jpg,Pierre-Yves Beaudouin,https://commons.wikimedia.org/wiki/User:Pyb,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
Anousheh Ansari,2006,Iran/the United States of America,"10 days, 21 hours, and 5 minutes",First female space tourist,12.09.1966,"hiking, basketball",https://indianexpress.com/article/technology/science/anousheh-ansari-woman-paid-her-own-way-into-space-too-7621850/,http://www.anoushehansari.com/about/,https://images.nasa.gov/details-jsc2006e38876,,,,
Barbara Radding Morgan,2007,the United States of America,"12 days, 17 hours, and 53 minutes",First teacher in space,28.11.1951,"classical flute, jazz, hiking, literature, swimming, cross-country skiing",https://spacecenter.org/astronaut-friday-barbara-morgan/,,https://images.nasa.gov/details-KSC-07pd0681,,,,
